epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,964.452,0.27417,3.02769,0.37667,0.21239,0.90536,0.99935,1,0.995,0.98822,0.99935,1,0.995,0.7055,0.21596,1.8301,0.045,0.15252,0.79426,0.0008912,0.0008912,0.0008912
30,996.961,0.28296,2.9636,0.36842,0.21988,0.90353,0.99936,1,0.995,0.98351,0.99936,1,0.995,0.71502,0.23056,1.81382,0.05025,0.14623,0.80225,0.0008516,0.0008516,0.0008516
31,1029.78,0.26308,3.02333,0.3669,0.20498,0.90447,0.99941,1,0.995,0.98167,0.99941,1,0.995,0.69731,0.19816,1.8423,0.04715,0.14456,0.79299,0.000812,0.000812,0.000812
32,1061.62,0.26706,3.06439,0.37411,0.20524,0.89882,0.99934,1,0.995,0.98872,0.99934,1,0.995,0.69978,0.17776,1.84448,0.05828,0.1346,0.78507,0.0007724,0.0007724,0.0007724
33,1093.79,0.24532,3.06366,0.3682,0.19282,0.8941,0.99941,1,0.995,0.9868,0.99941,1,0.995,0.696,0.17916,1.84058,0.04065,0.12384,0.78061,0.0007328,0.0007328,0.0007328
34,1125.86,0.23815,2.98668,0.36984,0.18845,0.88295,0.99941,1,0.995,0.98423,0.99941,1,0.995,0.71477,0.17129,1.79594,0.04973,0.11987,0.78052,0.0006932,0.0006932,0.0006932
35,1158.12,0.24698,2.86824,0.37912,0.19304,0.89186,0.99938,1,0.995,0.98591,0.99938,1,0.995,0.71062,0.19025,1.82394,0.04707,0.12726,0.78865,0.0006536,0.0006536,0.0006536
36,1190.27,0.24693,3.15654,0.3536,0.19504,0.89241,0.99938,1,0.995,0.98907,0.99938,1,0.995,0.72302,0.17104,1.79683,0.05188,0.12028,0.78082,0.000614,0.000614,0.000614
37,1222.51,0.23711,3.01483,0.3652,0.18887,0.88587,0.99938,1,0.995,0.98675,0.99938,1,0.995,0.7041,0.1908,1.80772,0.04721,0.14,0.78788,0.0005744,0.0005744,0.0005744
38,1255.35,0.22623,2.90702,0.36404,0.17864,0.88334,0.99941,1,0.995,0.9881,0.99941,1,0.995,0.69924,0.1792,1.81644,0.05047,0.12491,0.78475,0.0005348,0.0005348,0.0005348
39,1287.24,0.23054,3.0448,0.35082,0.17931,0.88099,0.99942,1,0.995,0.98461,0.99942,1,0.995,0.72561,0.1704,1.80649,0.05095,0.12064,0.77841,0.0004952,0.0004952,0.0004952
40,1319.47,0.22371,2.95004,0.36529,0.1753,0.88345,0.99941,1,0.995,0.99143,0.99941,1,0.995,0.71606,0.17496,1.79962,0.03819,0.12695,0.78168,0.0004556,0.0004556,0.0004556
41,1353.57,0.18048,5.27303,0.03301,0.1289,0.80204,0.99941,1,0.995,0.97785,0.99941,1,0.995,0.70026,0.17876,1.80029,0.01233,0.12066,0.78244,0.000416,0.000416,0.000416
42,1385.62,0.18155,5.1115,0.02657,0.1339,0.80031,0.99941,1,0.995,0.98978,0.99941,1,0.995,0.70192,0.1673,1.79298,0.00793,0.11205,0.77542,0.0003764,0.0003764,0.0003764
43,1417.36,0.17266,5.27838,0.02272,0.12889,0.79014,0.99942,1,0.995,0.98943,0.99942,1,0.995,0.77128,0.17944,1.74926,0.00774,0.11439,0.77737,0.0003368,0.0003368,0.0003368
44,1449.5,0.16903,4.99933,0.02261,0.12486,0.8045,0.99942,1,0.995,0.98991,0.99942,1,0.995,0.77419,0.15953,1.75585,0.0062,0.10691,0.77352,0.0002972,0.0002972,0.0002972
45,1481.16,0.16324,5.20793,0.02022,0.11695,0.78789,0.99943,1,0.995,0.97799,0.99943,1,0.995,0.75928,0.16676,1.75651,0.0058,0.11129,0.77657,0.0002576,0.0002576,0.0002576
46,1513.12,0.1591,5.35946,0.01712,0.1124,0.7927,0.99943,1,0.995,0.99141,0.99943,1,0.995,0.7704,0.16206,1.74707,0.00455,0.103,0.77196,0.000218,0.000218,0.000218
47,1545.23,0.15457,5.23905,0.01405,0.10601,0.78619,1,1,0.995,0.98949,1,1,0.995,0.78142,0.1537,1.74531,0.00426,0.09824,0.77119,0.0001784,0.0001784,0.0001784
48,1577.21,0.14723,5.03109,0.01719,0.10135,0.7753,0.99943,1,0.995,0.99,0.99943,1,0.995,0.78057,0.15512,1.74024,0.00412,0.09738,0.77133,0.0001388,0.0001388,0.0001388
49,1609.19,0.14473,5.0612,0.01572,0.09773,0.77699,1,1,0.995,0.9878,1,1,0.995,0.78087,0.14848,1.74055,0.00427,0.09108,0.77113,9.92e-05,9.92e-05,9.92e-05
50,1640.87,0.13834,5.08749,0.01593,0.09431,0.79061,1,1,0.995,0.9884,1,1,0.995,0.78352,0.14141,1.73934,0.00406,0.08523,0.76948,5.96e-05,5.96e-05,5.96e-05
